slug,org,title,female,male,unknown,total
policy,Wasanii MtaaniArtists in the Hood,Graffiti Activism Seeding  Leeching,0,2,3,5
teach,Mozilla Bangladesh,Make your community to Make through Maker parties,1,2,1,4
art,Crenellated Arts,MakerParty Using open source digital tools for community activism around regeneration and cultural exploration,1,0,0,1
data,ODI OsakaMozilla Factory,Introduction to Linked Open Data,0,5,1,6
data,US Open Data Institute,Balancing the Supply and Demand Sides of the Open Data Equation,0,2,0,2
mobile,ATR Creative,Illustrated maps on the go,0,3,0,3
physical,Wevolver,Coding Robots,0,1,0,1
teach,BBC News Labs,Explore Linked Data with BBC News Labs,0,2,0,2
teach,BBC News Labs,Help improve Popcornjs,0,1,0,1
art,TheGrid,Turtle Power,1,5,0,6
music,Mozilla Corporation,Jamming Music on the Web,0,1,0,1
policy,SecondMuse,Building Better Circumvention and Privacy Tools with the Comunity How Localization Improves Security,1,0,0,1
policy,Fight For the Future,Launching the Team Internet Alert System,1,0,0,1
journalism,Guardian News  Media,Moderation in moderation working with online communities,2,2,0,4
science,Open Knowledge School of Data,Become a spreadsheet pro,1,1,0,2
policy,Digital Stewardship Initiative Citizen Lab University of Toronto,Enabling Privacy Access Rights,0,3,0,3
teach,Guardian News and Media,There’s more to life than coding a practical guide to creating a wellrounded product,4,0,1,5
teach,MUUT,Create a map of online discussion platforms,1,0,0,1
mobile,Ravensbourne,Design Your First Mobile App with Mozilla Appmaker,0,1,1,2
teach,TiddlyWiki,Ten Years of TiddlyWiki,0,1,0,1
journalism,Racialiciouscom,UX for the norms Or tweaking open source tools for journalistscommunity activists,1,0,0,1
policy,Engine,Startup Companies as Advocates Engaged Communities Growing the Web we Want,1,0,0,1
teach,O2 Think Big,Discover the web with Think Big,0,1,0,1
science,Open Knowledge School of Data,Dealing with messy data,1,2,0,3
teach,,SOLEs as Web Literacy vector,0,1,0,1
teach,MIT Media Lab,Learning Guides for Community Makers,4,3,1,8
mobile,Mozilla,Mobile App Remix,1,2,0,3
teach,O2 Think Big,My first HTML page with Think Big,0,1,0,1
journalism,The New Yorker,You Killed Journalism by Ignoring Ads,0,2,0,2
physical,VA,Digital Futures,3,1,0,4
teach,Mozilla,Feedback Loop Games and Collaboration to Teach Community Building,1,0,1,2
art,Europeana Creative Open Knowledge FinlandOpenGLAM Aalto University,Redesign your cultural heritage,3,0,0,3
art,University of York  The National Archives,Using the past to change the future,1,1,0,2
hive,,KIDC,0,0,2,2
data,Code for America,Building a Geocoder for your City,0,1,0,1
music,Adagio  Chattanooga Music Resource Center,Adagio Audio Cloud Mixing,1,2,0,3
journalism,Infogram,Data Literacy The Social Responsibility of Publishing Information,0,0,1,1
journalism,The New York Times,Data Smells,1,3,1,5
journalism,Northwestern University Knight Lab,Lets Build an Open Source Storytelling Tool,0,1,0,1
art,Mozillian India,Designing  ColorfulExplore the next Generation Web Culture,0,1,0,1
science,Public Lab,Community publication models for bottomup science initiatives,0,2,0,2
mobile,Cybersociety Observatory,Hybrid Days The story behind Stories,2,1,1,4
data,,Open skills mapped for anyone,0,1,0,1
journalism,ProPublica,Practical Threat Modeling for Journalists,0,1,1,2
badges,ADPIOS  Europortfolio,Open Badge Infrastructure Doing with vs Doing to models,1,2,0,3
badges,ADPIOS  Europortfolio,Open Badge Infrastructure Doing with vs Doing to models,1,3,0,4
art,Manufactura Independente,Design webfonts with Minecraft,1,1,0,2
teach,Mozilla Community India,Foxy  The Mask Battle,1,3,0,4
data,,Storytelling the Internet Freedom Narratives with Data,1,1,2,4
hive,,mozilla 2 school,0,1,2,3
journalism,Al Jazeera America,Making journalism more accessible,1,0,0,1
data,ProPublica,Data Alchemy Turning lead into data,0,3,1,4
teach,IndieWwb,Links are annotations,0,1,0,1
mobile,,Meshnetworking with Firefox,0,1,0,1
journalism,The Center for Investigative Reporting,Exploring new JavaScript APIs for Journalism,0,1,0,1
teach,ScriptEd,ScriptEd,1,0,0,1
teach,,AppMaker as Programming 101,0,0,1,1
journalism,The Center for Investigative Reporting,The News Apps Handbook,0,1,0,1
journalism,Internews,Hacking the Data Journalism Boot Camp,1,0,0,1
mobile,Mozilla Community Rajasthan  MCR,Fit the web into mobile Make responsive and mobile optimized websites,0,3,0,3
journalism,The Center for Investigative Reporting,Beyond Extensions Crafting web tools for Journalist,0,1,0,1
journalism,Sourcefabric,Liars vs Verifiers  a game,0,1,1,2
teach,Observadorpt,Why UX matters to Journalism and what we can learn from our grandmother and nephew,0,1,0,1
mobile,Iridescent,AppMaker Game Prototypes for Youth Game Jams,1,1,0,2
teach,Mozilla Community Rajasthan,From Me to We  Building blocks of Community,0,2,2,4
teach,Mozilla Community Rajasthan,From Me to We  Building blocks of Community,0,2,2,4
mobile,MOZILLA,Building offline apps with Filer,0,2,0,2
teach,velti inspiring sciense project,create edu content for the web and teach the web with 5ml,0,1,0,1
journalism,OpenNews,Hack the News Org,0,2,0,2
journalism,The Guardian,Opsec versus the newsroom,0,1,0,1
music,CASH Music,Fireside chat with musician  technologist,1,1,0,2
journalism,Digital Technology Fellow POVAmerican Documentary,Building Rich Media on the Web,0,3,0,3
music,,Building frontend for artists,1,0,1,2
music,,The intersection of Music  Journalism,1,0,0,1
teach,Mozilla Rep,Lead grow and innovative,0,1,0,1
hive,Eyebeam,Playable Fashion The MiniWorkshop,1,0,0,1
data,Civic Innovation Fellow New America Foundation,Offline Bridging Digital Divides in Open Data,1,0,0,1
policy,,Metadata Browser History and Your Privacy,0,2,1,3
data,Open Knowledge,Help us measure Open Gov Data,1,0,1,2
teach,httpsdisconnectme,Mobile privacy and security the perils of developing apps that disrupt Google and Apple,0,1,0,1
policy,Free Press,They Dont Really Care About Us,1,0,1,2
science,Museum für Naturkunde Berlin,Crowdsourcing along the research cycle,0,1,0,1
art,Vox Media,Harnessing the Evolution of Ads,1,0,0,1
teach,,Playing with Sensors in Open Web Apps and Firefox OS,0,1,0,1
music,EduMake,Generative Jam,1,2,0,3
mobile,Mozilla Uruguay,Empowering appmaker,0,1,0,1
teach,EduMake,Incorporating Web Literacy Standard into Schools,0,1,0,1
data,Mapzen,NewSchool Maps and Dataviz with WebGL,0,1,0,1
teach,Connected Learning Alliance,Lessons from Minecraft Camp How to build an online summer camp at webscale,2,1,0,3
policy,Mozilla,The Web We Want is Private Contributing to a Privacy Movement with Mozilla,2,0,0,2
teach,Mozilla,Mentoring for Everyone,2,0,0,2
journalism,Tow Center for Digital Journalism Columbia University,Recipe creation with NewsLynx,0,2,0,2
art,,Ive Made Poor Life Choices And So Can You,0,0,1,1
data,Code for America,Open Data Rube Goldberg Machine,0,2,0,2
teach,,Spreading an open Web the oldfashioned way,0,0,2,2
music,,Social Innovation Music and the Web,1,0,0,1
data,University of Florida Mobiquity,Just because you can does not mean you should,0,2,0,2
